codigo,detalle_url,entidad,objeto,estado,ubicacion,presupuesto,fecha_publicacion,semestre
SICM-520-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=_MnfepXRk3n-OmNPLwN-wU-2MlAC5a_iZbyL87vG51k,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: TENOFOVIR + EMTRICITABINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 300 MG + 200 MG - PRESENTACIÓN COMERCIAL: CAJA X FRASCO,Adjudicado otros oferentes,PICHINCHA / QUITO,$0.43854,2022-06-23 08:00:00,First 2022
SICM-503-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=64dFKv5gC6Q8PYfKQ5md6X7jGMgvVCPQtGpWM4CZ-Vk,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: MEGLUMINA ANTIMONIATO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 300 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 5 ML,Adjudicado oferente ganador,PICHINCHA / QUITO,$3.79707,2022-06-23 08:00:00,First 2022
SICM-504-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=sGLIxWT-5eloFFbtFRuKxNWXmfGIylrO6hEaZXo80nk,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: MESALAZINA - FORMA FARMACÉUTICA: SÓLIDO ORAL POLVO - CONCENTRACIÓN: 1 000 MG - PRESENTACIÓN COMERCIAL: CAJA X SOBRES/SACHETS,Adjudicado oferente ganador,PICHINCHA / QUITO,$1.30837,2022-06-23 08:00:00,First 2022
SICM-505-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=2lSwFmgpzz0qbjKEMvT7Z6NdSZyZQiFQR2b6F6yVpeQ,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: METILDOPA LEVÓGIRA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 250 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.07069,2022-06-23 08:00:00,First 2022
SICM-506-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=xGN5XbEWk-uxlAXHK-9wPDaHJCjaPMa3KiYky-X3__Q,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: METILDOPA LEVÓGIRA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.21207,2022-06-23 08:00:00,First 2022
SICM-507-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=PSqGAE4yTjfIJWeL-vdYdvspL7KB8gOZB5G6k_a6Hso,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: METILERGOMETRINA O G02AB03 ERGOMETRINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL  - CONCENTRACIÓN: 0,2 MG/ML  - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 1 ML",Desierto,PICHINCHA / QUITO,$0.33063,2022-06-23 08:00:00,First 2022
SICM-521-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ebQiA-6-iZEMcv0gv2ga9-tqCgoILLRVpl3jXuoYFtA,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: TENOFOVIR + EMTRICITABINA + EFAVIRENZ - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 300 MG + 200 MG + 600 MG - PRESENTACIÓN COMERCIAL: CAJA X FRASCO,Desierto,PICHINCHA / QUITO,$0.33325,2022-06-23 08:00:00,First 2022
SICM-522-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=gyfFiumbA-hM0JoVB3Sse1nqiklOTVij78UtW5Um8r0,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: RITONAVIR - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Desierto,PICHINCHA / QUITO,$0.40000,2022-06-23 08:00:00,First 2022
SICM-508-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=a73F70MRzEAhDraOAUOQ4A27wtTCX-oqOg21jFBoofg,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: MORFINA - FORMA FARMACÉUTICA: LÍQUIDO ORAL - CONCENTRACIÓN: 20 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 60 ML MÍNIMO CON DOSIFICADOR,Desierto,PICHINCHA / QUITO,$11.52800,2022-06-23 08:00:00,First 2022
SICM-509-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=GVbIONKhcUi31UTNiHMzcwQwrMUjCKWfZtOM-25V0AI,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: MORFINA - FORMA FARMACÉUTICA: SÓLIDO ORAL LIBERACIÓN PROLONGADA - CONCENTRACIÓN: 10 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.69887,2022-06-23 08:00:00,First 2022
SICM-523-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=W1xPIh-VpfhNCKneH0UUTnzF7dtKTP8fBV4rQmFwG3k,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: MAGALDRATO CON SIMETICONA HIDRÓXIDO DE AL Y MG - FORMA FARMACÉUTICA: LÍQUIDO ORAL - CONCENTRACIÓN: NO DEFINIDO - PRESENTACIÓN COMERCIAL: CAJA X FRASCO/FRASCO X 150 ML MÍNIMO CON DOSIFICADOR,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.76078,2022-06-23 08:00:00,First 2022
SICM-510-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=CbxEuobvmEXn6PM0MY50qpASfSABIS4gCw_hrNzYnOk,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: MORFINA - FORMA FARMACÉUTICA: SÓLIDO ORAL LIBERACIÓN PROLONGADA - CONCENTRACIÓN: 60 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$2.12813,2022-06-23 08:00:00,First 2022
SICM-524-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=F1Yja_rGHNemhjGtOCkDWBUtzE3ck9Zu9IXQZ9XczHc,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: IVERMECTINA - FORMA FARMACÉUTICA: LÍQUIDO ORAL - CONCENTRACIÓN: 6 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO GOTERO X 5 ML -MÍNIMO-,Desierto,PICHINCHA / QUITO,$0.22270,2022-06-23 08:00:00,First 2022
SICM-525-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Q49k6oampcoftDLZzEjkmEwTgrQSwpnBL01vuFJjlPM,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: DIAZEPAM - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 10 MG - PRESENTACIÓN COMERCIAL:  CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.09000,2022-06-23 08:00:00,First 2022
SICM-511-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=QqMVqIu-hR_DvQPqF3y4aPKQCATczUvUQ5GeDzanw8k,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: PERMETRINA - FORMA FARMACÉUTICA: SEMISÓLIDO CUTÁNEO - CONCENTRACIÓN: 1 % - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 30 G MÍNIMO,Desierto,PICHINCHA / QUITO,$2.30062,2022-06-23 08:00:00,First 2022
SICM-512-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=apoBAVZwnGvp9MUf1BDr-jUraMxc3Adhcf4UHQskLb8,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: PERTUZUMAB - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 30 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL X 14 ML,Desierto,PICHINCHA / QUITO,$2000.83000,2022-06-23 08:00:00,First 2022
SICM-526-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=O7FrQG_GKsU6akAapoEXugajwi24OXKZcaDnmfOnHxM,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: PROPRANOLOL - FORMA FARMACÉUTICA:SÓLIDO ORAL - CONCENTRACIÓN: 10 MG - PRESENTACIÓN COMERCIAL:  CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.04221,2022-06-23 08:00:00,First 2022
SICM-513-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=jw_l1KRL0qLzYQaHdxHBWMC8Yv3rN3KBp1qnNoR2eX8,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: PREDNISOLONA - FORMA FARMACÉUTICA: LÍQUIDO OFTÁLMICO - CONCENTRACIÓN: 0,12 % - PRESENTACIÓN COMERCIAL: CAJA X FRASCO GOTERO X 5 ML MÍNIMO",Desierto,PICHINCHA / QUITO,$3.74715,2022-06-23 08:00:00,First 2022
SICM-527-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=30e5hwwIHMuXVKDRGTaR_WjIxZYF_6QYB_GlhIwgzgo,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: METILPREDNISOLONA - ACETATO- - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 40 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- X 1 ML,Suspendido,PICHINCHA / QUITO,$4.06000,2022-06-23 08:00:00,First 2022
SICM-528-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=KvG4K2GoRIwD-LlfBVdZfFE8vwDEYOcF2PQ1hSLcFbo,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: OLIGOELEMENTOS - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL  - CONCENTRACIÓN: NO DEFINIDO - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 10 ML,Desierto,PICHINCHA / QUITO,$2.51250,2022-06-23 08:00:00,First 2022
SICM-469-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=8x3pdzyhvLSVtJjJHEQoSu-JbL89Kggcuzz2EQINawE,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: BETAMETASONA - FORMA FARMACÉUTICA: LÍQUIDO CUTÁNEO - CONCENTRACIÓN: 0,05 % - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 60 ML MÍNIMO",Desierto,PICHINCHA / QUITO,$4.07778,2022-06-22 08:00:00,First 2022
SICM-470-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=U44QCWMeUDi7p_Iuo_h0Q8Tvd0b6MxbvWc7HS919Tv8,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: BUPRENORFINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 0,3 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 1 ML",Desierto,PICHINCHA / QUITO,$3.30224,2022-06-22 08:00:00,First 2022
SICM-471-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=a058J1lePOEhmSVsBG_SOXpBIruy5DqwxCD3i0ss0r0,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: BUPRENORFINA - FORMA FARMACÉUTICA: SÓLIDO CUTÁNEO PARCHE TRANSDÉRMICO - CONCENTRACIÓN: 10 MG - PRESENTACIÓN COMERCIAL: CAJA X PARCHE/PARCHES,Adjudicado otros oferentes,PICHINCHA / QUITO,$10.16600,2022-06-22 08:00:00,First 2022
SICM-484-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=RmRnDBHX-ghz27Y7IA9I8LOdz4ZI7wWBwiQvaCbyz10,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: FENOBARBITAL - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 60 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 2 ML,Desierto,PICHINCHA / QUITO,$0.42000,2022-06-22 08:00:00,First 2022
SICM-472-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=lrWFpEk3KCLcyOT5pkrUOltMruv_RpFj8dF5ktshzC0,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: CETUXIMAB - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 5 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES X 100 ML,Adjudicado oferente ganador,PICHINCHA / QUITO,$1817.74727,2022-06-22 08:00:00,First 2022
SICM-485-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=-eH6vpuWV4-EfpN8CrbEznh3RLSaq5HfZHNU8jLy7ro,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: FENOBARBITAL - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.06356,2022-06-22 08:00:00,First 2022
SICM-473-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Ns80Zzl-4JM0qGsSy6Et0ALAIfgW6vutzKmwYqoPWww,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: CETUXIMAB - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 5 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES X 20 ML,Adjudicado oferente ganador,PICHINCHA / QUITO,$360.00000,2022-06-22 08:00:00,First 2022
SICM-474-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=X9IqjtdIkhir-8Acd0GH-QRz0vXN7X3MO0JaCQ-K_V8,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: CLOBAZAM - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 10 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.12320,2022-06-22 08:00:00,First 2022
SICM-475-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=TVV-Ux6uHrZ0n9Xfaix0V8XXbEaAFIeC8WrqhaTjxSs,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: COMPLEJO B: TIAMINA VITAMINA B1 - PIRIDOXINA VITAMINA B6 -CIANOCOBALAMINA VITAMINA B12 - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL / SÓLIDO PARENTERAL - CONCENTRACIÓN: * 200 MG * 50 MG * 0,030 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES CON DILUYENTE / CAJA X VIAL-ES",Desierto,PICHINCHA / QUITO,$0.95937,2022-06-22 08:00:00,First 2022
SICM-476-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=mkUcQuRIF1VwzsFXI8SWB_hWuHQVn6X-KvLNFTd-Yow,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: DACTINOMICINA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 0,5 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL",Adjudicado oferente ganador,PICHINCHA / QUITO,$17.00000,2022-06-22 08:00:00,First 2022
SICM-486-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=DvOqm5baQRNcWf1WLXEiZ7BlJIpTZmsiCAlA3SjkO98,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: FLUTICASONA - FORMA FARMACÉUTICA: LÍQUIDO PARA INHALACIÓN - CONCENTRACIÓN: 250 MCG - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 120 DOSIS MÍNIMO,Adjudicado otros oferentes,PICHINCHA / QUITO,$11.74245,2022-06-22 08:00:00,First 2022
SICM-477-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=kUFJKmI2nnU7HLztq8JHNaLWdv2xYI4atOTtp7Vx1a4,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: DESMOPRESINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 15 MCG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 1 ML,Adjudicado oferente ganador,PICHINCHA / QUITO,$14.09700,2022-06-22 08:00:00,First 2022
SICM-478-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=2wZQpvdc-1vFIBmxwr-zbATPaPWvf_gIiaYJL8N-gdQ,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: EFEDRINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 60 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 1 ML,Desierto,PICHINCHA / QUITO,$0.34000,2022-06-22 08:00:00,First 2022
SICM-487-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=rwGfQ25d-ET6waSFhYjIl8XRe3_R6R5ibIdRwCVc5T8,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: FOLINATO CÁLCICO LEUCOVORINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 15 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.26451,2022-06-22 08:00:00,First 2022
SICM-479-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=EhQ1eTcvKJA3y5TaBnPAUw90rKAU6pTWteQfqca7VnQ,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: ESPIRAMICINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 3 000 000 UI - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.78723,2022-06-22 08:00:00,First 2022
