codigo,detalle_url,item,principio_activo,forma_farmaceutica,concentracion,presentacion_comercial,estado,presupuesto,provincia,canton,fecha_publicacion
SICM-474-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=X9IqjtdIkhir-8Acd0GH-QRz0vXN7X3MO0JaCQ-K_V8,",DCI: CLOBAZAM - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 10 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Clobazam,Sólido Oral,10 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.1232,Pichincha , Quito,2022-06-22 08:00:00
SICM-476-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=mkUcQuRIF1VwzsFXI8SWB_hWuHQVn6X-KvLNFTd-Yow,","DCI: DACTINOMICINA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 0,5 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL",Dactinomicina,Sólido Parenteral,"0,5 MG",Caja X Vial,Adjudicado oferente ganador,17.0,Pichincha , Quito,2022-06-22 08:00:00
SICM-486-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=DvOqm5baQRNcWf1WLXEiZ7BlJIpTZmsiCAlA3SjkO98,",DCI: FLUTICASONA - FORMA FARMACÉUTICA: LÍQUIDO PARA INHALACIÓN - CONCENTRACIÓN: 250 MCG - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 120 DOSIS MÍNIMO,Fluticasona,Líquido Para Inhalación,250 MCG,Caja X Frasco X 120 Dosis Mínimo,Adjudicado otros oferentes,11.74245,Pichincha , Quito,2022-06-22 08:00:00
SICM-477-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=kUFJKmI2nnU7HLztq8JHNaLWdv2xYI4atOTtp7Vx1a4,",DCI: DESMOPRESINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 15 MCG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 1 ML,Desmopresina,Líquido Parenteral,15 MCG/ML,Caja X Ampolla-S X 1 Ml,Adjudicado oferente ganador,14.097,Pichincha , Quito,2022-06-22 08:00:00
SICM-488-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=MVkuMkca_MzhzKRQlde7uo0G5LCQGkvlmBN_rC0R3Iw,",DCI: FOSFOLÍPIDOS NATURALES SURFACTANTE PULMONAR - FORMA FARMACÉUTICA: LÍQUIDO INTRATRAQUEAL - CONCENTRACIÓN: 25 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL X 8 ML,Fosfolípidos Naturales Surfactante Pulmonar,Líquido Intratraqueal,25 MG/ML,Caja X Vial X 8 Ml,Adjudicado oferente ganador,151.0,Pichincha , Quito,2022-06-22 08:00:00
SICM-493-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=F6Rjz2KnQ3tY1i4u_m_W-6B0D4PgF2kTRCMTQGVX34A,",DCI: INDACATEROL - FORMA FARMACÉUTICA: SÓLIDO PARA INHALACIÓN - CONCENTRACIÓN: 150 MCG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER X CÁPSULAS CON POLVO PARA INHALACIÓN + INHALADOR,Indacaterol,Sólido Para Inhalación,150 MCG,Caja X Blíster X Cápsulas Con Polvo Para Inhalación + Inhalador,Adjudicado oferente ganador,1.2,Pichincha , Quito,2022-06-22 08:00:00
SICM-494-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=UvWOVo0zFRssvzYxF006IDzls5bAAJIyw-oQB0NNyXA,",DCI: INMUNOGLOBULINA ANTITIMOCÍTICA CONEJO - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 25 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL,Inmunoglobulina Antitimocítica Conejo,Sólido Parenteral,25 MG,Caja X Vial,Adjudicado oferente ganador,306.0,Pichincha , Quito,2022-06-22 08:00:00
SICM-495-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=GVYa9z50lG0R6ymUk1FmZaKrK29g2-XqgOGWaUmiAxU,",DCI: INMUNOGLOBULINA ANTITIMOCÍTICA EQUINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 50 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES X 5 ML,Inmunoglobulina Antitimocítica Equina,Líquido Parenteral,50 MG/ML,Caja X Vial-Es X 5 Ml,Adjudicado oferente ganador,545.63,Pichincha , Quito,2022-06-22 08:00:00
SICM-498-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=h9s9pgCLK4oupqQmr_E01MJ4Skhs4_EHlG9MxmgkAMw,","DCI: LEFLUNOMIDA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 20 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Leflunomida,Sólido Oral,20 MG,"Caja X Blíster/Ristra/Frasco Dosis Personal, No Envase Hospitalario",Adjudicado oferente ganador,2.72662,Pichincha , Quito,2022-06-22 08:00:00
SICM-454-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=oFeDackQnDVX9oW-gWkrhiWylKucoT-LdEtjQubyeRw,","DCI: TERLIPRESINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL / SÓLIDO PARENTERAL - CONCENTRACIÓN: 1 MG QUE EQUIVALE A 0,86 MG - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- CAJA X VIAL -ES- + DILUYENTE",Terlipresina,Líquido Parenteral / Sólido Parenteral,"1 MG QUE EQUIVALE A 0,86 MG",Caja X Ampolla-S- Caja X Vial -Es- + Diluyente,Adjudicado oferente ganador,30.532,Pichincha , Quito,2022-06-21 08:00:00
SICM-460-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=PVtEXa4gkmJZxZV4V_D325Gcs6qDK2T24m5A-iogGyk,",DCI: UREA - FORMA FARMACÉUTICA: SEMISÓLIDO CUTÁNEO - CONCENTRACIÓN: 5 % - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 90 G -MÍNIMO-,Urea,Semisólido Cutáneo,5 %,Caja X Tubo X 90 G -Mínimo-,Adjudicado otros oferentes,2.0,Pichincha , Quito,2022-06-21 08:00:00
SICM-462-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=yaizbmpXKg2oCnpGr7OwN_TPdAuN9oPi3yEJqjcUTi8,",DCI: AFATINIB - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 30 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Afatinib,Sólido Oral,30 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,86.22063,Pichincha , Quito,2022-06-21 08:00:00
SICM-463-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=YholKr1m6z1RdnPJlppSUJmYz4QDGQ9hWNgB53gYNec,",DCI: AFATINIB - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 40 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Afatinib,Sólido Oral,40 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,86.68497,Pichincha , Quito,2022-06-21 08:00:00
SICM-465-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=PqumZ0mLQR7M2jKPiLocvnzMGggLLsOBCjBp_So6PlI,",DCI: ALBÚMINA HUMANA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 20 % - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 100 ML,Albúmina Humana,Líquido Parenteral,20 %,Caja X Frasco X 100 Ml,Adjudicado otros oferentes,70.0,Pichincha , Quito,2022-06-21 08:00:00
SICM-466-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=BTleRRbc2UIlFyPcv1u_dWjHUJCKRWX_i7mnkbZQyeQ,",DCI: ALPROSTADIL - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 20 MCG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 1 ML,Alprostadil,Líquido Parenteral,20 MCG/ML,Caja X Ampolla-S- X 1 Ml,Adjudicado otros oferentes,104.87392,Pichincha , Quito,2022-06-21 08:00:00
SICM-467-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=gVI9DBSQZKtH2GkoC470e0oyBrxI4F4dxTgAoen2LRc,",DCI: ALTEPLASA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- CON DISOLVENTE,Alteplasa,Sólido Parenteral,50 MG,Caja X Vial-Es- Con Disolvente,Adjudicado oferente ganador,549.43158,Pichincha , Quito,2022-06-21 08:00:00
SICM-443-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=hk8RZEcsFXvdVzopqDPP_eENC22L2OSHRP_ALawJsnA,",DCI: NITROPRUSIATO SÓDICO - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES CON DISOLVENTE,Nitroprusiato Sódico,Sólido Parenteral,50 MG,Caja X Vial-Es Con Disolvente,Adjudicado oferente ganador,8.0,Pichincha , Quito,2022-06-21 08:00:00
SICM-444-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=iofqkwkq9CSTHSguk1PRobn9LHra-0yqpPPmifBCGto,",DCI: OCTREOTIDA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 30 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL CON DILUYENTE,Octreotida,Sólido Parenteral,30 MG,Caja X Vial Con Diluyente,Adjudicado otros oferentes,1200.0,Pichincha , Quito,2022-06-21 08:00:00
SICM-446-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=r5P6gQlylXRpa35F12EcqXAddYuuc-GEG2qXgLPYGZc,",DCI: PERÓXIDO DE BENZOILO - FORMA FARMACÉUTICA: SEMISÓLIDO CUTÁNEO - CONCENTRACIÓN: 10 % - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 30 G MÍNIMO,Peróxido De Benzoilo,Semisólido Cutáneo,10 %,Caja X Tubo X 30 G Mínimo,Adjudicado oferente ganador,3.74,Pichincha , Quito,2022-06-21 08:00:00
SICM-447-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=0XpZKKyQUIEw3SvQ0EmqLIMRZgdRLD9tAaX5mfwkbeY,","DCI: PIRIDOSTIGMINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 60 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Piridostigmina,Sólido Oral,60 MG,"Caja X Blíster/Ristra/Frasco Dosis Personal, No Envase Hospitalario",Adjudicado otros oferentes,0.9498,Pichincha , Quito,2022-06-21 08:00:00
SICM-448-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=wt1slS7YmavPJhVavKnbdkAf0jDTphDlv39AIy_a4zk,",DCI: POLIDOCANOL - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 3 % - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 2 ML,Polidocanol,Líquido Parenteral,3 %,Caja X Ampolla-S X 2 Ml,Adjudicado oferente ganador,3.1255,Pichincha , Quito,2022-06-21 08:00:00
SICM-449-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=fL39BeuDqsPVGXJT6JMoGL_UZP4zLdBU1FWMIS1nl_I,",DCI: RISPERIDONA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 25 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES CON DISOLVENTE,Risperidona,Sólido Parenteral,25 MG,Caja X Vial-Es Con Disolvente,Adjudicado oferente ganador,85.73708,Pichincha , Quito,2022-06-21 08:00:00
SICM-452-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=zK4KbEu2NQAn2yEtsBzMMuxj-F29TZIhz3YkWA2z5Zs,",DCI: SUGAMMADEX - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 100 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES X 5 ML,Sugammadex,Líquido Parenteral,100 MG/ML,Caja X Vial-Es X 5 Ml,Adjudicado otros oferentes,83.5,Pichincha , Quito,2022-06-21 08:00:00
SICM-453-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=cQ4gPieLdRp0agxiS4H78JRUre2me051PObVAG-4G08,",DCI: SULFATO DE ZINC - FORMA FARMACÉUTICA: LÍQUIDO ORAL - CONCENTRACIÓN: 2 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 60 ML MÍNIMO,Sulfato De Zinc,Líquido Oral,2 MG/ML,Caja X Frasco X 60 Ml Mínimo,Adjudicado otros oferentes,3.58,Pichincha , Quito,2022-06-21 08:00:00
SICM-410-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ttFLyGA9qCEWHKv7pkDuQ2THiGeMoXe5LYIP-abumqQ,",DCI: CLINDAMICINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 300 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Clindamicina,Sólido Oral,300 MG,Caja X Blíster/Ristra,Adjudicado otros oferentes,0.09796,Pichincha , Quito,2022-06-20 08:00:00
SICM-411-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=MwU17xDGpwwmDxPxwtDzdhOdfElUnwvt1-IX6ySxigo,",DCI: ESPIRONOLACTONA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Espironolactona,Sólido Oral,100 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.18735,Pichincha , Quito,2022-06-20 08:00:00
SICM-424-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ddgoUKQjGrMSUwsFLPrxOi1UP5w6Ew8st6ZaB8aS_M8,",DCI: DESMOPRESINA - FORMA FARMACÉUTICA: LÍQUIDO PARA INHALACIÓN - CONCENTRACIÓN: 100 MCG/ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO SPRAY,Desmopresina,Líquido Para Inhalación,100 MCG/ML,Caja X Frasco Spray,Adjudicado otros oferentes,48.77622,Pichincha , Quito,2022-06-20 08:00:00
SICM-425-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=hfnAuZCA4GB4KXYy2wFiL6Iy7hWA5uamLIFT0v14r-U,",DCI: ERITROPOYETINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL / SÓLIDO PARENTERAL - CONCENTRACIÓN: 10 000 UI - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES + DISOLVENTE / CAJA X JERINGA-S PRELLENADA-S,Eritropoyetina,Líquido Parenteral / Sólido Parenteral,10 000 UI,Caja X Vial-Es + Disolvente / Caja X Jeringa-S Prellenada-S,Adjudicado oferente ganador,14.77676,Pichincha , Quito,2022-06-20 08:00:00
SICM-416-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=8Ld58jF-MXftsJWNOGwWBWsRJKfHDHHAdFJ_U7I0eco,",DCI: AMINOFILINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 25 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 10 ML,Aminofilina,Líquido Parenteral,25 MG/ML,Caja X Ampolla-S X 10 Ml,Adjudicado oferente ganador,0.32316,Pichincha , Quito,2022-06-20 08:00:00
SICM-427-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=UmlE9Nq4_c2R6iI2BTJlWwoWBaLZDLjXh1lutQZWX-I,",DCI: FLUOROURACILO - FORMA FARMACÉUTICA: SEMISÓLIDO CUTÁNEO - CONCENTRACIÓN: 5 % - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 30 G MÍNIMO,Fluorouracilo,Semisólido Cutáneo,5 %,Caja X Tubo X 30 G Mínimo,Adjudicado oferente ganador,15.0,Pichincha , Quito,2022-06-20 08:00:00
SICM-428-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=pWSEjREaSBw_jx1w_DJOxrZ3g1m_8U9YLZ1fnBAOZ4M,",DCI: INFLIXIMAB - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES CON DILUYENTE / CAJA X VIAL-ES,Infliximab,Sólido Parenteral,100 MG,Caja X Vial-Es Con Diluyente / Caja X Vial-Es,Adjudicado oferente ganador,336.08127,Pichincha , Quito,2022-06-20 08:00:00
SICM-421-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=99drduWkQ7sKLPBBwByzBXZ8Pg5GOWKYCFUrGjwuaZo,","DCI: BUPIVACAÍNA HIPERBÁRICA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 0,5 % - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 4 ML",Bupivacaína Hiperbárica,Líquido Parenteral,"0,5 %",Caja X Ampolla-S X 4 Ml,Adjudicado otros oferentes,1.55,Pichincha , Quito,2022-06-20 08:00:00
SICM-430-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=KEGUEpvzr_q4SQZOOVUx8VvqzgiTcPyh_7Mf-UuZAkY,",DCI: LEVETIRACETAM - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 100 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES X 5 ML,Levetiracetam,Líquido Parenteral,100 MG/ML,Caja X Vial-Es X 5 Ml,Adjudicado otros oferentes,7.5,Pichincha , Quito,2022-06-20 08:00:00
