index,codigo,detalle_url,entidad,objeto,estado,ubicacion,presupuesto,fecha_publicacion,semestre,cum_id,principio_activo,forma_farmaceutica,concentracion,presentacion,cantidad,precio_referencial,subtotal,proveedor_adjudicado,valor_adjudicado,fecha_adjudicacion,contrato
37,SICM-474-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Je8iG8C0hpYea_WnbFimTCgR_8wuFo1LvOZeGzmMcXA,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: CLOBAZAM - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 10 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.12320,2022-06-22 08:00:00,First 2022,N05BA09SOR075X0,Clobazam,Sólido oral,10 mg,Caja x blíster/ristra,1140446.0,USD 0.123203,"USD 140,506.368538",OFTALVIS S.A.,USD 0.100000,2022-09-05 14:48:16,SI
39,SICM-476-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=zRFnV-p2NM60fkceYNsotyAgcHf3P69_wi9JP5C5_Xg,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: DACTINOMICINA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 0,5 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL",Adjudicado oferente ganador,PICHINCHA / QUITO,$17.00000,2022-06-22 08:00:00,First 2022,L01DA01SPR043X0,Dactinomicina,Sólido parenteral,"0,5 mg",Caja x vial,1490.0,USD 17.000000,"USD 25,330.000000",CEDIMED CIA. LTDA.,USD 15.000000,2022-10-03 10:36:48,SI
40,SICM-486-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=OPktQ12-Z3siaOf9CGCYsFgmUeYIUCz_FjtN5QA-Z4c,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: FLUTICASONA - FORMA FARMACÉUTICA: LÍQUIDO PARA INHALACIÓN - CONCENTRACIÓN: 250 MCG - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 120 DOSIS MÍNIMO,Adjudicado otros oferentes,PICHINCHA / QUITO,$11.74245,2022-06-22 08:00:00,First 2022,R03BA05LIH163X0,Fluticasona,Líquido para inhalación,250 mcg,Caja x frasco x 120 dosis (mínimo),237279.0,USD 11.742445,"USD 2,786,235.607155",GLAXOSMITHKLINE ECUADOR S A,USD 8.990000,2022-12-12 09:01:36,SI
41,SICM-477-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=p0W89hSF7o88EZWCcZ1uqk1ERZ07S_fMcDN7wc9CwdY,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: DESMOPRESINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 15 MCG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 1 ML,Adjudicado oferente ganador,PICHINCHA / QUITO,$14.09700,2022-06-22 08:00:00,First 2022,H01BA02LPR106A3,Desmopresina,Líquido parenteral,15 mcg/mL,Caja x ampolla(s) x 1 mL,9317.0,USD 14.097000,"USD 131,341.749000",ECUAQUIMICA ECUATORIANA DE PRODUCTOS QUIMICOS C.A.,USD 12.602700,2022-11-10 15:37:27,SI
46,SICM-488-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=KBPPXBgvLu2e_Chwj8p6pCWBafGdY_2HrR_kVuGqWBU,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: FOSFOLÍPIDOS NATURALES SURFACTANTE PULMONAR - FORMA FARMACÉUTICA: LÍQUIDO INTRATRAQUEAL - CONCENTRACIÓN: 25 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL X 8 ML,Adjudicado oferente ganador,PICHINCHA / QUITO,$151.00000,2022-06-22 08:00:00,First 2022,R07AA02LIT160B9,Fosfolípidos naturales (Surfactante pulmonar),Líquido intratraqueal,25 mg/mL,Caja x vial x 8 mL,11305.0,USD 151.000000,"USD 1,707,055.000000",LABORATORIO GADOR S.A.,USD 107.000000,2022-09-14 14:38:09,SI
54,SICM-493-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=9t1bxcu7h2rKDk1tzzHvNqrNxxbrwL1yVEm939xqH0k,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: INDACATEROL - FORMA FARMACÉUTICA: SÓLIDO PARA INHALACIÓN - CONCENTRACIÓN: 150 MCG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER X CÁPSULAS CON POLVO PARA INHALACIÓN + INHALADOR,Adjudicado oferente ganador,PICHINCHA / QUITO,$1.20000,2022-06-22 08:00:00,First 2022,R03AC18SIH110X0,Indacaterol,Sólido para inhalación,150 mcg,Caja x blíster x cápsulas con polvo para inhalación + inhalador,352029.0,USD 1.200000,"USD 422,434.800000",OFTALVIS S.A.,USD 1.170000,2022-10-07 15:32:18,SI
55,SICM-494-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=7xNeuR2tQUCIQuvWcSbyDPLfKf4pGIEkErkUTXXP6X8,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: INMUNOGLOBULINA ANTITIMOCÍTICA CONEJO - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 25 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL,Adjudicado oferente ganador,PICHINCHA / QUITO,$306.00000,2022-06-22 08:00:00,First 2022,L04AA04SPR157X0,Inmunoglobulina antitimocítica (Conejo),Sólido parenteral,25 mg,Caja x vial,1827.0,USD 306.000000,"USD 559,062.000000",OFTALVIS S.A.,USD 299.880000,2022-09-05 16:47:49,SI
56,SICM-495-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=rhWnoR7IRVf8iM-SvcBET9XvNMiAAUZWhpbFF00VUmQ,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: INMUNOGLOBULINA ANTITIMOCÍTICA EQUINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 50 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES X 5 ML,Adjudicado oferente ganador,PICHINCHA / QUITO,$545.63000,2022-06-22 08:00:00,First 2022,L04AA03LPR239V5,Inmunoglobulina antitimocítica (equina),Líquido parenteral,50 mg/mL,Caja x vial(es) x 5 mL,5758.0,USD 545.630000,"USD 3,141,737.540000",FARMABION DEL ECUADOR C.A.,USD 525.690000,2022-12-01 15:50:28,SI
59,SICM-498-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=P_USYJzBxJNhPum70-1YqYo2_Z--DEtWYcJlB9om6iM,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: LEFLUNOMIDA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 20 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Adjudicado oferente ganador,PICHINCHA / QUITO,$2.72662,2022-06-22 08:00:00,First 2022,L04AA13SOR140X0,Leflunomida,Sólido oral,20 mg,"Caja x blíster/ristra/frasco dosis personal, no envase hospitalario.",225672.0,USD 2.726621,"USD 615,322.014312",NEOETHICALS CIA. LTDA.,USD 0.400000,2022-10-07 16:50:22,SI
60,SICM-454-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=q9RvkpaNMIGbLVxllil0jSNFRMjaOLrzPLV3XQ1iwLg,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: TERLIPRESINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL / SÓLIDO PARENTERAL - CONCENTRACIÓN: 1 MG QUE EQUIVALE A 0,86 MG - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- CAJA X VIAL -ES- + DILUYENTE",Adjudicado oferente ganador,PICHINCHA / QUITO,$30.53200,2022-06-21 08:00:00,First 2022,H01BA04LSP340X0,Terlipresina,Líquido parenteral o sólido parenteral,"1 mg que equivale a 0,86 mg",Caja x ampolla(s) - Caja x vial(es) + diluyente,16340.0,USD 30.532000,"USD 498,892.880000",ECUAQUIMICA ECUATORIANA DE PRODUCTOS QUIMICOS C.A.,USD 27.600000,2022-12-30 13:14:35,SI
66,SICM-460-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=WEo5jzD05UbQnhdPD8wAoWUPVt8dB6bWog5XuuEwCx0,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: UREA - FORMA FARMACÉUTICA: SEMISÓLIDO CUTÁNEO - CONCENTRACIÓN: 5 % - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 90 G -MÍNIMO-,Adjudicado otros oferentes,PICHINCHA / QUITO,$2.00000,2022-06-21 08:00:00,First 2022,D02AE01SSC220X0,Urea,Semisólido cutáneo,5 %,Caja x tubo x 90 g (mínimo),630520.0,USD 2.000000,"USD 1,261,040.000000",FARMABION DEL ECUADOR C.A.,USD 1.076000,2022-10-06 11:40:10,SI
68,SICM-462-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Y4omhzHbTqGqWbpjhxxLOCTiPj80q2Av7h9_BeH2mNw,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: AFATINIB - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 30 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado otros oferentes,PICHINCHA / QUITO,$86.22063,2022-06-21 08:00:00,First 2022,L01XE13SOR181X0,Afatinib,Sólido oral,30 mg,Caja x blíster/ristra,29940.0,USD 86.220628,"USD 2,581,445.602320",BOEHRINGER INGELHEIM DEL ECUADOR CIA. LTDA.,USD 48.790000,2023-02-15 17:22:11,SI
69,SICM-463-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=sc-lecInQVd5XxVvM0ZIuxTxhplmUZ2-YWiAmQ7O0i0,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: AFATINIB - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 40 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado otros oferentes,PICHINCHA / QUITO,$86.68497,2022-06-21 08:00:00,First 2022,L01XE13SOR209X0,Afatinib,Sólido oral,40 mg,Caja x blíster/ristra,23184.0,USD 86.684974,"USD 2,009,704.437216",ZETI PHARMACEUTICALS PHARMAZETI CIA.LTDA.,USD 28.450000,2022-12-07 10:04:25,SI
71,SICM-465-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=9sAWBQ5GX5SDOFIrvfIVTp8EEuUYMRFtRJXO0dDeRzE,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: ALBÚMINA HUMANA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 20 % - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 100 ML,Adjudicado otros oferentes,PICHINCHA / QUITO,$70.00000,2022-06-21 08:00:00,First 2022,B05AA01LPR139B5,Albúmina humana,Líquido parenteral,20 %,Caja x frasco x 100 mL,56908.0,USD 70.000000,"USD 3,983,560.000000",RRPGOLDEN INTEGRA IMPORTADORA S.A.,USD 55.700000,2022-12-08 16:33:11,SI
72,SICM-466-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=xOyudi3fcCl0802Qqkz7AwbnSzcLiZrJYZ0xKT5JhLc,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: ALPROSTADIL - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 20 MCG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 1 ML,Adjudicado otros oferentes,PICHINCHA / QUITO,$104.87392,2022-06-21 08:00:00,First 2022,C01EA01LPR145A3,Alprostadil,Líquido parenteral,20 mcg/mL,Caja x ampolla(s) x 1 mL,1905.0,USD 104.873919,"USD 199,784.815695",LETERAGO DEL ECUADOR S.A,USD 80.000000,2022-12-08 16:36:37,SI
73,SICM-467-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=1RmY0SHWuhzHdLsz74PfxKEQoMNLJOuLUHZaJpaQt2U,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: ALTEPLASA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- CON DISOLVENTE,Adjudicado oferente ganador,PICHINCHA / QUITO,$549.43158,2022-06-21 08:00:00,First 2022,B01AD02SPR235X0,Alteplasa,Sólido parenteral,50 mg,Caja x vial(es) con disolvente,5220.0,USD 549.431583,"USD 2,868,032.863260",BOEHRINGER INGELHEIM DEL ECUADOR CIA. LTDA.,USD 521.000000,2022-09-21 13:28:56,SI
79,SICM-443-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=W4-QAnJM43bkgDTDApJPlMgkTPhxBHTDDtIt_c3a-Oc,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: NITROPRUSIATO SÓDICO - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES CON DISOLVENTE,Adjudicado oferente ganador,PICHINCHA / QUITO,$8.00000,2022-06-21 08:00:00,First 2022,C02DD01SPR235X0,Nitroprusiato sódico,Sólido parenteral,50 mg,Caja x vial(es) con disolvente,54337.0,USD 8.000000,"USD 434,696.000000",CRISTALIA DEL ECUADOR S.A.,USD 7.460000,2022-12-01 15:49:14,SI
80,SICM-444-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=eIl9fPotQVazq1HaYPYeCsG-OrjIDg8IPdemeZmUQgo,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: OCTREOTIDA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 30 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL CON DILUYENTE,Adjudicado otros oferentes,PICHINCHA / QUITO,$1200.00000,2022-06-21 08:00:00,First 2022,H01CB02SPR181X0,Octreotida,Sólido parenteral,30 mg,Caja x vial con diluyente,5443.0,"USD 1,200.000000","USD 6,531,600.000000",NUÑEZ PEREZ RICHARD MARCELO,USD 395.000000,2023-01-04 16:51:40,SI
82,SICM-446-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=M4QxNAynto6riU1U1KAC-ADrw6VcPztNt_dQE4RoCDE,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: PERÓXIDO DE BENZOILO - FORMA FARMACÉUTICA: SEMISÓLIDO CUTÁNEO - CONCENTRACIÓN: 10 % - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 30 G MÍNIMO,Adjudicado oferente ganador,PICHINCHA / QUITO,$3.74000,2022-06-21 08:00:00,First 2022,D10AE01SSC073X0,Peróxido de Benzoilo,Semisólido cutáneo,10 %,Caja x tubo x 30 g (mínimo),19897.0,USD 3.740000,"USD 74,414.780000",PHARMADIAL S.A.,USD 3.400000,2022-10-20 11:58:04,SI
83,SICM-447-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=hRTyi9Pmr50Dm5SOl8KmcQ39HIiOCeJB5J-c9XH74n4,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: PIRIDOSTIGMINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 60 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Adjudicado otros oferentes,PICHINCHA / QUITO,$0.94980,2022-06-21 08:00:00,First 2022,N07AA02SOR256X0,Piridostigmina,Sólido oral,60 mg,"Caja x blíster/ristra/frasco dosis personal, no envase hospitalario.",568822.0,USD 0.949799,"USD 540,266.566778",LABORATORIOS LACFARMA S.A.,USD 0.249000,2022-12-08 16:59:24,SI
84,SICM-448-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=QQUiz9CdnZuR9eQDSlq19WcEcIaldRnpbhtDiS1dvaM,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: POLIDOCANOL - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 3 % - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 2 ML,Adjudicado oferente ganador,PICHINCHA / QUITO,$3.12550,2022-06-21 08:00:00,First 2022,C05BB02LPR174A4,Polidocanol,Líquido parenteral,3 %,Caja x ampolla(s) x 2 mL,9633.0,USD 3.125500,"USD 30,107.941500",BIOTECNOLOGIA Y MEDICINA BIOAMIGA CIA. LTDA.,USD 3.032360,2022-09-06 16:58:11,SI
