codigo,detalle_url,entidad,objeto,estado,ubicacion,presupuesto,fecha_publicacion,semestre,cum_id,principio_activo,forma_farmaceutica,concentracion,presentacion,cantidad,precio_referencial,subtotal,proveedor_adjudicado,valor_adjudicado,fecha_adjudicacion
SICM-520-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=-iJQ8k5CvmQfx1zeg9qQp-0T0d0ivK_njU_1mJ7_7FI,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: TENOFOVIR + EMTRICITABINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 300 MG + 200 MG - PRESENTACIÓN COMERCIAL: CAJA X FRASCO,Adjudicado otros oferentes,PICHINCHA / QUITO,$0.43854,2022-06-23 08:00:00,First 2022,J05AR03SOR189X0,Tenofovir + Emtricitabina,Sólido oral,300 mg + 200 mg,Caja x frasco,189144,USD 0.438544,"USD 82,947.966336",LABORATORIOS LACFARMA S.A.,USD 0.327000,2022-12-08 16:42:39
SICM-503-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=O5SAk6WjnFJzT_em3pq1ryS5JP2dMGSB3bs5jHae_Qw,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: MEGLUMINA ANTIMONIATO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 300 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 5 ML,Adjudicado oferente ganador,PICHINCHA / QUITO,$3.79707,2022-06-23 08:00:00,First 2022,P01CB01LPR194A8,Meglumina antimoniato,Líquido parenteral,300 mg/mL,Caja x ampolla(s) x 5 mL,18500,USD 3.797072,"USD 70,245.832000",OFTALVIS S.A.,USD 3.560000,2022-09-05 16:36:02
SICM-504-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=VDWkpDqBVEYyEYfM8L9wEsO-wT5MLUOYJLi137FTA7U,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: MESALAZINA - FORMA FARMACÉUTICA: SÓLIDO ORAL POLVO - CONCENTRACIÓN: 1 000 MG - PRESENTACIÓN COMERCIAL: CAJA X SOBRES/SACHETS,Adjudicado oferente ganador,PICHINCHA / QUITO,$1.30837,2022-06-23 08:00:00,First 2022,A07EC02SOP061X0,Mesalazina,Sólido oral (polvo),1 000 mg,Caja x sobres/sachets,199725,USD 1.308369,"USD 261,313.998525",NEOETHICALS CIA. LTDA.,USD 0.850000,2022-09-21 13:16:40
SICM-505-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=rfFXmrXBGSEbdYPIATTQWnLrr7SJyZdEmMSnZJcNIsg,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: METILDOPA LEVÓGIRA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 250 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.07069,2022-06-23 08:00:00,First 2022,C02AB01SOR165X0,Metildopa ( levógira ),Sólido oral,250 mg,Caja x blíster/ristra,1506517,USD 0.070690,"USD 106,495.686730",,,
SICM-506-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Sf3w7qm6SQWAx7A5lZ6xx47T3zKjsP2DH0MIa69LaBE,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: METILDOPA LEVÓGIRA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.21207,2022-06-23 08:00:00,First 2022,C02AB01SOR241X0,Metildopa ( levógira ),Sólido oral,500 mg,Caja x blíster/ristra,189688,USD 0.212071,"USD 40,227.323848",NEOETHICALS CIA. LTDA.,USD 0.190000,2023-03-24 16:04:36
SICM-507-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=iSSAwHaOadrYpsC2ikszwWgr9_I_jS1-uRXHvvTE0ig,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: METILERGOMETRINA O G02AB03 ERGOMETRINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL  - CONCENTRACIÓN: 0,2 MG/ML  - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 1 ML",Desierto,PICHINCHA / QUITO,$0.33063,2022-06-23 08:00:00,First 2022,G02AB01LPR033A3,Metilergometrina (o G02AB03 Ergometrina),Líquido parenteral,"0,2 mg/mL",Caja x ampolla(s) x 1 mL,144187,USD 0.330631,"USD 47,672.691997",,,
SICM-521-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=XGsimSEjqDJ57Od0bB_DM06ZAC7F_BIXapGXgtBOpHQ,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: TENOFOVIR + EMTRICITABINA + EFAVIRENZ - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 300 MG + 200 MG + 600 MG - PRESENTACIÓN COMERCIAL: CAJA X FRASCO,Desierto,PICHINCHA / QUITO,$0.33325,2022-06-23 08:00:00,First 2022,J05AR06SOR190X0,Tenofovir + Emtricitabina + Efavirenz,Sólido oral,300 mg + 200 mg + 600 mg,Caja x frasco,67200,USD 0.333254,"USD 22,394.668800",,,
SICM-522-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=KkTu9rrKdfhU5o54Dea2VUTtPoMmqeShogE09MEjZSM,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: RITONAVIR - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Desierto,PICHINCHA / QUITO,$0.40000,2022-06-23 08:00:00,First 2022,J05AE03SOR083X0,Ritonavir,Sólido oral,100 mg,"Caja x frasco dosis personal, no envase hospitalario",35520,USD 0.400000,"USD 14,208.000000",,,
SICM-508-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=PyUN6MigxS5_oYVMKJdksoZOTj1xtk-JfVK_8ZJoB8o,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: MORFINA - FORMA FARMACÉUTICA: LÍQUIDO ORAL - CONCENTRACIÓN: 20 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 60 ML MÍNIMO CON DOSIFICADOR,Desierto,PICHINCHA / QUITO,$11.52800,2022-06-23 08:00:00,First 2022,N02AA01LOR144X0,Morfina,Líquido oral,20 mg/mL,Caja x frasco x 60 mL (mínimo) con dosificador,13703,USD 11.528000,"USD 157,968.184000",,,
SICM-509-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=AMyUTKFQXKqVkTSbPU0Nw6pWsMNkLBtWi-nAcMZE8jI,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: MORFINA - FORMA FARMACÉUTICA: SÓLIDO ORAL LIBERACIÓN PROLONGADA - CONCENTRACIÓN: 10 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.69887,2022-06-23 08:00:00,First 2022,N02AA01SLP075X0,Morfina,Sólido oral (Liberación prolongada),10 mg,Caja x blíster/ristra,371022,USD 0.698867,"USD 259,295.032074",,,
SICM-523-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=rxT960W0e81Lo59fVc9slw8QTzNuWYr7-SmI4O1W778,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: MAGALDRATO CON SIMETICONA HIDRÓXIDO DE AL Y MG - FORMA FARMACÉUTICA: LÍQUIDO ORAL - CONCENTRACIÓN: NO DEFINIDO - PRESENTACIÓN COMERCIAL: CAJA X FRASCO/FRASCO X 150 ML MÍNIMO CON DOSIFICADOR,Adjudicado oferente ganador,PICHINCHA / QUITO,$0.76078,2022-06-23 08:00:00,First 2022,A02AF01LOR000X0,Magaldrato con simeticona (Hidróxido de Al y Mg),Líquido oral,No definido,Caja x frasco/Frasco x 150 mL (mínimo) con dosificador,5804990,USD 0.760775,"USD 4,416,291.267250",FARMAYALA PHARMACEUTICAL COMPANY S.A. FPC,USD 0.720000,2022-09-07 13:12:05
SICM-510-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=3Y4SRVTwv8Oug3tzwFzLVFxbitHglJOsrknRWSbCI2Y,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: MORFINA - FORMA FARMACÉUTICA: SÓLIDO ORAL LIBERACIÓN PROLONGADA - CONCENTRACIÓN: 60 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$2.12813,2022-06-23 08:00:00,First 2022,N02AA01SLP256X0,Morfina,Sólido oral (Liberación prolongada),60 mg,Caja x blíster/ristra,148570,USD 2.128133,"USD 316,176.719810",,,
SICM-524-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=NPAp3kAU31TNK9f-3jNffjKS_RNRqhXTrgFO5kqNYRE,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: IVERMECTINA - FORMA FARMACÉUTICA: LÍQUIDO ORAL - CONCENTRACIÓN: 6 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO GOTERO X 5 ML -MÍNIMO-,Desierto,PICHINCHA / QUITO,$0.22270,2022-06-23 08:00:00,First 2022,P02CF01LOR252X0,Ivermectina,Líquido oral,6 mg/mL,Caja x frasco gotero x 5 mL (mínimo),12138,USD 0.222700,"USD 2,703.132600",,,
SICM-525-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=m11xHX_hCjmNGXnIafRN9Y3gQEnvfI57P1SLJhbhx_s,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: DIAZEPAM - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 10 MG - PRESENTACIÓN COMERCIAL:  CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.09000,2022-06-23 08:00:00,First 2022,N05BA01SOR075X0,Diazepam,Sólido oral,10 mg,Caja x blíster/ristra,13160,USD 0.090000,"USD 1,184.400000",,,
SICM-511-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=0pzv3Gf-s4e9nqdp0HuR0IeUAMkCXjy41oHFwqZIE_E,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: PERMETRINA - FORMA FARMACÉUTICA: SEMISÓLIDO CUTÁNEO - CONCENTRACIÓN: 1 % - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 30 G MÍNIMO,Desierto,PICHINCHA / QUITO,$2.30062,2022-06-23 08:00:00,First 2022,P03AC04SSC052X0,Permetrina,Semisólido cutáneo,1 %,Caja x tubo x 30 g (mínimo),108539,USD 2.300624,"USD 249,707.428336",,,
SICM-512-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=uhoj6H3Fd2BFlVYMCD2RPr4fBQM8IqTcfDyb9QCXdmE,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: PERTUZUMAB - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 30 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL X 14 ML,Desierto,PICHINCHA / QUITO,$2000.83000,2022-06-23 08:00:00,First 2022,L01XC13LPR182D6,Pertuzumab,Líquido parenteral,30 mg/mL,Caja x vial x 14 mL,83853,"USD 2,000.830000","USD 167,775,597.990000",,,
SICM-526-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=DY_Lzrwv3d_G3is-IIyWtSQyUKhcjijepmo7mwQLmT0,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: PROPRANOLOL - FORMA FARMACÉUTICA:SÓLIDO ORAL - CONCENTRACIÓN: 10 MG - PRESENTACIÓN COMERCIAL:  CAJA X BLÍSTER/RISTRA,Desierto,PICHINCHA / QUITO,$0.04221,2022-06-23 08:00:00,First 2022,C07AA05SOR075X0,Propranolol,Sólido oral,10 mg,Caja x blíster/ristra,66652,USD 0.042213,"USD 2,813.580876",,,
SICM-513-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Ucgemg0DdiOEsKskahXMXr2dyjnlQQkHn_bj0rGtu7Y,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: PREDNISOLONA - FORMA FARMACÉUTICA: LÍQUIDO OFTÁLMICO - CONCENTRACIÓN: 0,12 % - PRESENTACIÓN COMERCIAL: CAJA X FRASCO GOTERO X 5 ML MÍNIMO",Desierto,PICHINCHA / QUITO,$3.74715,2022-06-23 08:00:00,First 2022,S01BA04LOF028X0,Prednisolona,Líquido oftálmico,"0,12 %",Caja x frasco gotero x 5 mL (mínimo),29883,USD 3.747148,"USD 111,976.023684",,,
SICM-527-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Fwyut_0e6i9hu1CB83FVtRWbmPkZtuDf0Um4b3tGafw,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: METILPREDNISOLONA - ACETATO- - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 40 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- X 1 ML,Suspendido,PICHINCHA / QUITO,$4.06000,2022-06-23 08:00:00,First 2022,H02AB04LPR210V1,Metilprednisolona (acetato),Líquido parenteral,40 mg/mL,Caja x vial(es) x 1 mL,42707,USD 4.060000,"USD 173,390.420000",,,
SICM-528-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=_pfHSEb-KqrwJjPNoIEifHKQdugbtXOBb-SL-i5F4R0,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: OLIGOELEMENTOS - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL  - CONCENTRACIÓN: NO DEFINIDO - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 10 ML,Desierto,PICHINCHA / QUITO,$2.51250,2022-06-23 08:00:00,First 2022,B05XX00LPR000A9,Oligoelementos,Líquido parenteral,No definido,Caja x ampolla(s) x 10 mL,197516,USD 2.512500,"USD 496,258.950000",,,
SICM-469-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=TGqTzlOHIJuJAa9an_IJHtexIm4ROLW_OwRU-0jiOyw,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: BETAMETASONA - FORMA FARMACÉUTICA: LÍQUIDO CUTÁNEO - CONCENTRACIÓN: 0,05 % - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 60 ML MÍNIMO",Desierto,PICHINCHA / QUITO,$4.07778,2022-06-22 08:00:00,First 2022,D07AC01LCT018X0,Betametasona,Líquido cutáneo,"0,05 %",Caja x frasco x 60 mL (mínimo),137269,USD 4.077779,"USD 559,752.645551",,,
SICM-470-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=XIaqPocTdT7LdRMhhOzstYFyD6Wz2iKjaOboTRO0ljE,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,"DCI: BUPRENORFINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 0,3 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 1 ML",Desierto,PICHINCHA / QUITO,$3.30224,2022-06-22 08:00:00,First 2022,N02AE01LPR038A3,Buprenorfina,Líquido parenteral,"0,3 mg/mL",Caja x ampolla(s) x 1 mL,88430,USD 3.302241,"USD 292,017.171630",,,
SICM-471-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=bDqFte0aIh7Fmf0qD_t6tGNR-46VHlvGtB6Ja7G6CZs,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: BUPRENORFINA - FORMA FARMACÉUTICA: SÓLIDO CUTÁNEO PARCHE TRANSDÉRMICO - CONCENTRACIÓN: 10 MG - PRESENTACIÓN COMERCIAL: CAJA X PARCHE/PARCHES,Adjudicado otros oferentes,PICHINCHA / QUITO,$10.16600,2022-06-22 08:00:00,First 2022,N02AE01SCT075X0,Buprenorfina,Sólido cutáneo (Parche transdérmico),10 mg,Caja x parche/parches,11651,USD 10.166000,"USD 118,444.066000",GRUNENTHAL ECUATORIANA CIA LTDA,USD 8.358000,2022-10-06 13:01:16
SICM-484-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=1XiJIBwCdN16YWc8lPEoc8I5HjgT0SGSL6i_CojSsEw,",SERVICIO NACIONAL DE CONTRATACION PUBLICA,DCI: FENOBARBITAL - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 60 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S X 2 ML,Desierto,PICHINCHA / QUITO,$0.42000,2022-06-22 08:00:00,First 2022,N03AA02LPR258A4,Fenobarbital,Líquido parenteral,60 mg/mL,Caja x ampolla(s) x 2 mL,76656,USD 0.420000,"USD 32,195.520000",,,
